UID,langloc_DiffTasks_1,langloc_DiffTasks_2,langloc_DiffTasks_3,langloc_DiffTasks_4,langloc_DiffTasks_5,langloc_DiffTasks_6,spatialFIN
212,FED_20170322a_3T2,FED_20170322a_3T2,FED_20170322a_3T2,FED_20170322a_3T2,NA,NA,KAN_evDB_20140303c
249,FED_20170417a_3T2,FED_20170417a_3T2,FED_20170417a_3T2,FED_20170417a_3T2,NA,NA,KAN_EvDB_20150130
338,FED_20190123a_3T2,FED_20190123a_3T2,FED_20190123a_3T2,FED_20190123a_3T2,FED_20190123a_3T2,NA,FED_20170113b_3T2
365,FED_20170417c_3T2,FED_20170417c_3T2,FED_20170417c_3T2,FED_20170417c_3T2,NA,NA,FED_20170120a_3T2
382,FED_20160407a_3T2,FED_20170727d_3T2,FED_20170727d_3T2,FED_20170727d_3T2,NA,NA,FED_20160407a_3T2
426,FED_20170321b_3T2,FED_20170321b_3T2,FED_20170321b_3T2,NA,NA,NA,FED_20160908d_3T1
551,FED_20170420b_3T2,FED_20170420b_3T2,FED_20170420b_3T2,FED_20170420b_3T2,NA,NA,NA
553,FED_20170428d_3T2,FED_20170428d_3T2,FED_20170428d_3T2,FED_20170428d_3T2,NA,NA,FED_20170313d_3T2
584,FED_20190208a_3T2,FED_20190208a_3T2,FED_20190208a_3T2,FED_20190208a_3T2,FED_20190208a_3T2,NA,FED_20170421a_3T2
602,FED_20170501b_3T2,FED_20170501b_3T2,FED_20170501b_3T2,FED_20170501b_3T2,NA,NA,FED_20170501b_3T2
604,FED_20170502b_3T2,FED_20170502b_3T2,FED_20170502b_3T2,FED_20170502b_3T2,NA,NA,FED_20170502b_3T2
605,FED_20170505a_3T2,FED_20170505a_3T2,FED_20170505a_3T2,FED_20170505a_3T2,NA,NA,FED_20170505a_3T2
606,FED_20170515a_3T2,FED_20170515a_3T2,FED_20170515a_3T2,FED_20170515a_3T2,NA,NA,FED_20170515a_3T2
673,FED_20180720a_3T2,FED_20180720a_3T2,FED_20180720a_3T2,FED_20180720a_3T2,FED_20190131c_3T2,NA,FED_20190809a_3T2
674,FED_20180720b_3T2,FED_20180720b_3T2,FED_20180720b_3T2,FED_20180720b_3T2,FED_20180720b_3T2,NA,FED_20180730b_3T2
675,FED_20180726a_3T2,FED_20180726a_3T2,FED_20180726a_3T2,FED_20180726a_3T2,FED_20180726a_3T2,NA,NA
680,FED_20190131e_3T2,FED_20190131e_3T2,FED_20190131e_3T2,FED_20190131e_3T2,FED_20190131e_3T2,NA,FED_20180802b_3T2
705,FED_20190117a_3T2,NA,NA,NA,FED_20190117a_3T2,NA,FED_20190117a_3T2
707,FED_20190117c_3T2,FED_20190117c_3T2,FED_20190117c_3T2,FED_20190117c_3T2,FED_20190117c_3T2,NA,FED_20190117c_3T2
709,FED_20190124a_3T2,FED_20190124a_3T2,FED_20190124a_3T2,FED_20190124a_3T2,FED_20190124a_3T2,NA,NA
710,FED_20190124b_3T2,FED_20190124b_3T2,FED_20190124b_3T2,FED_20190124b_3T2,FED_20190124b_3T2,NA,NA
711,FED_20190124c_3T2,FED_20190124c_3T2,FED_20190124c_3T2,FED_20190124c_3T2,FED_20190124c_3T2,NA,NA
712,FED_20190124d_3T2,FED_20190124d_3T2,FED_20190124d_3T2,FED_20190124d_3T2,FED_20190124d_3T2,NA,FED_20190702a_3T2
714,FED_20190131a_3T2,FED_20190131a_3T2,FED_20190131a_3T2,FED_20190131a_3T2,FED_20190131a_3T2,NA,FED_20200220a_3T2
715,FED_20190131b_3T2,FED_20190131b_3T2,FED_20190131b_3T2,FED_20190131b_3T2,FED_20190131b_3T2,NA,NA
716,FED_20190131d_3T2,FED_20190131d_3T2,NA,FED_20190131d_3T2,FED_20190131d_3T2,NA,FED_20190624a_3T2
717,FED_20190207a_3T2,FED_20190207a_3T2,FED_20190207a_3T2,FED_20190207a_3T2,FED_20190207a_3T2,NA,FED_20190624c_3T2
718,FED_20190207b_3T2,FED_20190207b_3T2,FED_20190207b_3T2,FED_20190207b_3T2,FED_20190207b_3T2,NA,FED_20190624b_3T2
719,FED_20190207c_3T2,NA,FED_20190207c_3T2,FED_20190207c_3T2,FED_20190207c_3T2,NA,NA
720,FED_20190208b_3T2,FED_20190208b_3T2,FED_20190208b_3T2,FED_20190208b_3T2,FED_20190208b_3T2,NA,FED_20190625c_3T2
722,FED_20190213a_3T2,FED_20190213a_3T2,FED_20190213a_3T2,FED_20190213a_3T2,FED_20190213a_3T2,NA,NA
724,FED_20190214b_3T2,FED_20190214b_3T2,FED_20190214b_3T2,FED_20190214b_3T2,FED_20190214b_3T2,NA,FED_20200211b_3T2
820,FED_20210902a_3T2,FED_20210902a_3T2,NA,FED_20210902a_3T2,NA,NA,FED_20220223a_3T1
837,FED_20210929c_3T2,FED_20210929c_3T2,NA,NA,FED_20210929c_3T2,FED_20210929c_3T2,FED_20221202a_3T1
838,FED_20210902d_3T2,NA,FED_20210902d_3T2,FED_20210902d_3T2,FED_20210902d_3T2,FED_20210902d_3T2,FED_20210902d_3T2
839,FED_20210812a_3T2,FED_20210812a_3T2,NA,FED_20210812a_3T2,FED_20210812a_3T2,FED_20210812a_3T2,FED_20210812a_3T2
840,FED_20210812b_3T2,NA,FED_20210812b_3T2,FED_20210812b_3T2,FED_20210812b_3T2,FED_20210812b_3T2,FED_20220218b_3T1
841,FED_20210813a_3T2,NA,FED_20210813a_3T2,FED_20210813a_3T2,FED_20210813a_3T2,FED_20210813a_3T2,FED_20220812a_3T1
842,FED_20210813b_3T2,NA,FED_20210813b_3T2,FED_20210813b_3T2,FED_20210813b_3T2,FED_20210813b_3T2,FED_20220525b_3T1
843,FED_20210902b_3T2,NA,FED_20210902b_3T2,FED_20210902b_3T2,FED_20210902b_3T2,FED_20210902b_3T2,FED_20210902b_3T2
844,FED_20210902c_3T2,FED_20210902c_3T2,NA,FED_20210902c_3T2,FED_20210902c_3T2,FED_20210902c_3T2,FED_20210902c_3T2
845,FED_20210922a_3T2,FED_20210922a_3T2,NA,FED_20210922a_3T2,FED_20210922a_3T2,FED_20210922a_3T2,FED_20210922a_3T2
846,FED_20210922b_3T2,NA,NA,FED_20210922b_3T2,NA,FED_20210922b_3T2,FED_20210922b_3T2
847,FED_20210922c_3T2,FED_20210922c_3T2,NA,FED_20210922c_3T2,FED_20210922c_3T2,FED_20210922c_3T2,FED_20210922c_3T2
848,FED_20210922d_3T2,NA,NA,NA,FED_20210922d_3T2,FED_20210922d_3T2,FED_20220725b_3T1
849,FED_20210929a_3T2,NA,FED_20210929a_3T2,FED_20210929a_3T2,FED_20210929a_3T2,FED_20210929a_3T2,FED_20210929a_3T2
850,FED_20210929b_3T2,NA,NA,FED_20210929b_3T2,FED_20210929b_3T2,FED_20210929b_3T2,FED_20210929b_3T2
851,FED_20210929d_3T2,NA,NA,FED_20210929d_3T2,FED_20210929d_3T2,FED_20210929d_3T2,FED_20211008b_3T1
856,FED_20220209a_3T2,FED_20220209a_3T2,NA,FED_20220209a_3T2,FED_20220209a_3T2,FED_20220209a_3T2,FED_20221129a_3T1
864,FED_20220203a_3T2,FED_20220203a_3T2,NA,FED_20220203a_3T2,NA,FED_20220203a_3T2,FED_20220203a_3T2
865,FED_20220207a_3T2,NA,NA,FED_20220207a_3T2,FED_20220207a_3T2,FED_20220207a_3T2,FED_20220802c_3T1
866,FED_20220209b_3T2,NA,FED_20220209b_3T2,FED_20220209b_3T2,NA,FED_20220209b_3T2,FED_20221109a_3T1